project_id,project_source,project_namespace,project_name,display_name,event_source,repository_count,first_commit_date,last_commit_date,star_count,fork_count,developer_count,contributor_count,contributor_count_6_months,new_contributor_count_6_months,fulltime_developer_average_6_months,active_developer_count_6_months,commit_count_6_months,opened_pull_request_count_6_months,merged_pull_request_count_6_months,opened_issue_count_6_months,closed_issue_count_6_months
64qp1ybgolFxPB47LJA0p7BGYKekaqGS8p3yqqvkL3o=,OSS_DIRECTORY,oso,rotki,rotki,GITHUB,28,2018-12-15 14:32:31.000000 UTC,2024-10-24 19:55:14.000000 UTC,2890,628,16,516,47,29,3.7704918,8,1903,1103,1055,123,118
w-EgpnKgqIrHFP5V0T7Nb7NK2EBh9RnJ72eIk1X5NUo=,OSS_DIRECTORY,oso,ipni,InterPlanetary Network Indexer (IPNI),GITHUB,27,2021-07-06 17:05:17.000000 UTC,2024-10-20 00:43:25.000000 UTC,177,61,18,54,11,1,0.1147541,4,219,205,202,12,7
viUcpRzCFYZUuCyABVcLzx6QMpmB07MqM0WzOi63irc=,OSS_DIRECTORY,oso,unlock-protocol,Unlock Protocol,GITHUB,72,2018-07-24 15:03:07.000000 UTC,2024-10-24 21:57:14.000000 UTC,1025,406,18,201,33,19,1.83060109,4,951,840,796,104,151
y3Ubcxl0zK203QZ1TMR3aNOG0yWEuIEqofU3x96DSPc=,OSS_DIRECTORY,oso,passportxyz,Passport XYZ,GITHUB,27,2022-05-24 21:13:30.000000 UTC,2024-10-24 22:40:49.000000 UTC,1426,690,20,143,23,11,1.40437158,7,756,431,393,168,270
49IQVtGGIRnaELpl9hbznb1FNpTo-lH6AL9GKBq5JoE=,OSS_DIRECTORY,oso,apeworx,Ape Framework,GITHUB,77,2021-01-15 06:01:20.000000 UTC,2024-10-25 00:27:44.000000 UTC,1924,586,21,244,48,23,2.0273224,8,1098,660,610,137,138
ZcUvKlBj9GWk1Y73n2nJQBjJ9TvWNHAXcPeylV6aL-g=,OSS_DIRECTORY,oso,matrixai,Polykey,GITHUB,84,2015-02-18 01:44:33.000000 UTC,2024-10-21 06:33:50.000000 UTC,237,64,22,48,12,6,0.41530055,7,562,86,71,138,139
YsXhhSltzsyytRGVqGrxtZImtPx0_CDjjXf1Bw5mbV0=,OSS_DIRECTORY,oso,zaratandotworld,Zaratan,GITHUB,3,2020-03-19 02:31:29.000000 UTC,2024-10-24 23:02:23.000000 UTC,9,1,1,2,2,0,0.22404372,1,161,16,19,36,27
lxtxbfDiol39PJ9dUNdHgXsPXh5GuqopuMmFgpBhoSY=,OSS_DIRECTORY,oso,tx-city,Txcity,GITHUB,1,2024-05-27 04:29:11.000000 UTC,2024-10-15 03:01:01.000000 UTC,0,0,1,2,2,2,0,1,46,21,22,0,0
1RTMdJO15Q3-KU8AhnE6iqdvxKEnkf7zDFkJ4AQ1mjI=,OSS_DIRECTORY,oso,thesellouts,Sellout,GITHUB,4,2024-05-10 02:02:42.000000 UTC,2024-10-21 17:33:19.000000 UTC,6,0,1,2,2,2,0.14754098,1,59,1,1,0,0
h4xIFWYVPRWL8fHuVz0qy5biZxNBtDwxihPsLN8Hxes=,OSS_DIRECTORY,oso,rentality-xyz,Rentality,GITHUB,1,2023-05-17 12:30:34.000000 UTC,2024-10-01 09:41:21.000000 UTC,1,1,1,2,2,1,0,1,65,3,2,0,0
